country,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Angola,655k,631k,537k,750k,2.46M,5.07M,5.72M,7.06M,8.18M,8.54M,7.79M,7.56M,7.06M,6.47M,7.2M,7.43M,7.16M,6.41M,8.79M,10.1M,11.5M,13.9M,17.5M,22.3M,22.6M,23.4M,24.5M,27.2M,24.8M,27.4M,31.2M,35.4M,36.5M,36M,36.7M,36.9M,36.5M,44.6M,42.8M,54.6M,62.4M,68.7M,81.2M,92.3M,86M,88.9M,82M,85.3M,85.2M,83.3M,88.2M,85.8M,81.6M,74.1M,69.1M
United Arab Emirates,13.7M,17.4M,18.5M,24.1M,30.4M,37.8M,51.3M,58.4M,74.2M,81.3M,80.6M,94M,96.8M,88.6M,88.7M,83.8M,74.1M,64.4M,60.7M,58.1M,56M,64.6M,68.2M,72M,85.1M,93.2M,107M,118M,114M,115M,114M,117M,117M,122M,112M,122M,118M,109M,126M,131M,137M,146M,144M,145M,129M,135M,150M,156M,163M,163M,176M,182M,176M,177M,180M
Argentina,13.8M,14.6M,16M,17.5M,18.1M,20M,21.6M,22.2M,21.6M,21.1M,20.3M,20.4M,22.1M,23.2M,24.3M,25.3M,25.7M,25.6M,25.7M,25.1M,24.2M,22.9M,22.6M,23.7M,24.2M,25.4M,25.9M,29M,31.1M,34.5M,37.5M,40.8M,43.4M,44M,41.7M,41.3M,43.9M,43.3M,43.1M,41M,39.4M,39.4M,38.2M,37.8M,34M,33.3M,31.2M,30.8M,30.2M,29.8M,30M,28.6M,27.2M,27.5M,28.8M
Australia,346k,445k,1.04M,1.93M,2.23M,8.7M,15.3M,16.3M,20.4M,20.2M,21.6M,22.1M,23.4M,23.2M,23.3M,21.8M,21.3M,21M,20.4M,26.5M,30.7M,27.4M,29.1M,27.7M,26.1M,30.3M,28.6M,28.2M,26.3M,28.3M,26.7M,28.1M,29.8M,28.2M,27.5M,37.1M,34.3M,34.1M,29.5M,25.8M,25.3M,23.5M,24.5M,24.1M,22.4M,24.5M,21.5M,21.4M,17.8M,19.1M,17M,15.6M,14.9M,15.2M,20.6M
Azerbaijan,,,,,,,,,,,,,,,,,,,,,13.2M,13.1M,13.9M,13.7M,13.2M,12.5M,11.8M,11.2M,10.3M,9.56M,9.16M,9.1M,9.03M,11.4M,13.9M,14.1M,15M,15.3M,15.4M,15.5M,22.2M,32.3M,43.4M,45.3M,50.9M,51.3M,46.1M,43.7M,43.8M,42.5M,42M,41.4M,39.1M,39.2M,38.1M
Brazil,5.05M,6.16M,7.75M,8.52M,9.29M,8.79M,9.2M,9.03M,9.16M,9.55M,9.31M,9.07M,8.74M,8.69M,9M,9.88M,11.5M,14.1M,17.8M,25M,29.5M,31M,30.8M,30.1M,32.2M,34.1M,33.7M,34.2M,34.9M,36.2M,37.5M,42.5M,45.6M,52.7M,59.5M,67.1M,70.2M,78.6M,81.5M,80.9M,89M,94M,95M,98.8M,106M,111M,114M,112M,110M,122M,132M,136M,142M,140M,151M
Brunei,3.96M,4.76M,5.16M,6.07M,6.15M,6.75M,6.4M,9.06M,11.4M,9.74M,9.17M,10.6M,11.1M,11.7M,12.7M,11.7M,8.46M,8.68M,8.74M,8.42M,8.18M,8.06M,7.56M,7.33M,7.3M,7.4M,8M,8.92M,8.54M,8.74M,8.54M,8.08M,7.96M,7.66M,8.91M,9.48M,9.95M,10.3M,10.5M,10.3M,10.1M,10.8M,9.5M,8.56M,8.22M,8.43M,8.08M,7.79M,6.58M,6.15M,6.18M,5.9M,5.49M,5.41M,5.9M
Canada,43.9M,48.2M,52.7M,57.1M,62.2M,70.1M,75.2M,86.7M,100M,94.4M,81.6M,75.3M,75.6M,75.2M,86.3M,83.3M,75.4M,74.6M,78.6M,83.8M,85.7M,85.7M,90.3M,95.1M,92.6M,92.8M,93.2M,97.2M,102M,107M,112M,115M,121M,125M,121M,133M,133M,139M,147M,151M,149M,157M,162M,159M,158M,166M,175M,188M,201M,216M,224M,227M,246M,268M,275M
China,11.3M,14.6M,13.9M,16M,21.7M,30.6M,39.4M,45.7M,53.6M,64.8M,77.1M,87.2M,93.6M,104M,106M,106M,101M,102M,106M,115M,125M,131M,134M,137M,138M,138M,141M,142M,144M,146M,149M,159M,160M,160M,160M,163M,165M,167M,170M,174M,181M,185M,186M,190M,189M,203M,203M,207M,210M,211M,215M,200M,192M,189M,191M
"Congo, Rep.",71k,62k,50k,43k,24k,19k,14k,336k,2.09M,2.46M,1.79M,2.1M,1.64M,2.43M,2.76M,3.17M,4.1M,4.55M,5.37M,6.03M,5.94M,5.95M,6.32M,7.04M,7.96M,8.03M,8.05M,8.64M,9.54M,9.56M,9.27M,10.4M,11.6M,13.6M,13.7M,13.5M,12.5M,12M,11M,11.5M,12.6M,14.2M,11.5M,12.2M,14.1M,16M,15.3M,14.2M,12.3M,12.9M,11.9M,11.9M,13.8M,16.9M,17.4M
Colombia,10.7M,10.4M,10.1M,9.26M,11.2M,11.8M,11.7M,10.6M,9.95M,9.07M,8.5M,7.94M,7.47M,7.1M,6.68M,6.8M,7.26M,7.65M,8.2M,9.02M,9.52M,16.1M,20.4M,20M,21.4M,23.4M,22.6M,23.3M,24M,24.1M,31M,33.4M,34.8M,40.4M,43.7M,36.3M,31.8M,30.4M,28.5M,27.9M,27.7M,27.8M,28M,31M,35.3M,41.4M,48.2M,49.9M,53.2M,52.2M,53M,46.8M,45M,45.6M,46.7M
Denmark,,,,,,,,97.7k,146k,97.5k,146k,195k,487k,390k,390k,293k,731k,1.66M,2.1M,2.3M,2.92M,3.61M,4.53M,4.69M,5.46M,5.9M,6.92M,7.67M,8.19M,9.02M,9.06M,10.2M,11.2M,11.6M,14.6M,17.7M,17M,18.1M,17.9M,19.1M,18.5M,16.8M,15.2M,14M,12.9M,12.2M,10.9M,9.98M,8.68M,8.13M,7.69M,6.92M,6.74M,5.65M,5.02M
Algeria,26.1M,33.6M,38.6M,42.4M,44.4M,48.3M,36.8M,49.7M,51.7M,47.8M,46.8M,52.2M,55.8M,56.9M,58.1M,51.5M,45.9M,45.7M,45M,48.8M,47.1M,48.5M,50.2M,52.6M,54.5M,58.4M,58.7M,56.5M,56.3M,56.1M,55.8M,59M,61.6M,61.4M,58.5M,66.8M,65.8M,70.9M,79M,83.6M,86.4M,86.2M,86.5M,84.8M,77.2M,73.8M,71.7M,67.2M,64.8M,68.8M,67.2M,68.4M,66.6M,65.3M,64.3M
Ecuador,429k,375k,322k,269k,214k,214k,214k,4.19M,11.2M,9.49M,8.63M,10.1M,9.84M,10.9M,11.5M,11M,11.4M,11.4M,12.8M,13.9M,15.2M,15.9M,9.39M,16.5M,15.2M,15.5M,16.3M,17.5M,18.7M,20.6M,21M,20.9M,21.1M,20.4M,20.3M,21.6M,21.9M,21.1M,22.5M,28.3M,28.6M,28.8M,27.5M,27.2M,26.1M,26.1M,26.8M,27.1M,28.2M,29.8M,29.1M,29.5M,28.5M,27.7M,28.5M
Egypt,6.48M,6.26M,5.58M,8.58M,12.3M,16.4M,15M,10.7M,8.48M,7.45M,11.7M,16.6M,20.9M,25.2M,26.1M,29.8M,32.2M,33.3M,36.4M,41.8M,45.1M,41.1M,46.2M,44.2M,44.5M,45.5M,45.4M,46M,47.5M,46.5M,46.6M,45.1M,43.8M,43M,41.4M,38.9M,37.6M,37.2M,37.1M,34.8M,33.2M,33.2M,33.8M,34.7M,35.3M,35M,34.6M,34.7M,34.4M,35.1M,35.4M,33.8M,32.2M,34.2M,33.6M
Gabon,1.26M,1.45M,3.44M,4.64M,5.03M,5.42M,5.79M,6.3M,7.6M,10.2M,11.3M,11.3M,11.3M,10.6M,9.8M,8.89M,7.65M,7.79M,7.87M,8.73M,8.63M,8.29M,7.73M,8.89M,10.2M,13.5M,14.7M,14.5M,15.2M,16.8M,17.8M,18.3M,18.2M,16.8M,17M,13.8M,13.1M,12.8M,13.7M,13.7M,13.5M,12.1M,12.3M,12M,12M,11.6M,11.8M,11.1M,10.7M,10.5M,10.7M,11M,10.5M,9.66M,10.9M
United Kingdom,84k,78k,89k,84k,85k,156k,212k,333k,372k,410k,1.57M,12.2M,38.3M,54M,77.9M,80.5M,89.5M,103M,115M,126M,128M,127M,123M,114M,91.7M,91.6M,91.3M,94.3M,100M,127M,130M,130M,128M,133M,137M,126M,117M,116M,106M,95.4M,84.7M,76.6M,76.6M,71.8M,68.2M,63M,52M,44.6M,40.6M,39.9M,45.3M,47.4M,46.6M,50.9M,51.8M
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.3k,248k,248k,347k,844k,2.97M,4.11M,4.95M,5.7M,9.36M,11.1M,12.7M,16.6M,17.5M,17.2M,17.7M,17.6M,15.6M,14.5M,14.2M,15.2M,13.2M,13.3M,12.1M,10.4M,8.97M,8.7M,8.19M
Indonesia,24.5M,23.9M,25.7M,30.3M,32.4M,43.1M,45M,54.7M,67.5M,69.4M,65.9M,76.1M,84.9M,82.1M,79.5M,79M,80M,66.6M,70.7M,74.9M,66.3M,70.4M,69.8M,67.3M,71.6M,74.4M,81M,76.7M,76.9M,76.9M,76.5M,76.7M,75.7M,74.2M,68.6M,71.8M,68.2M,63.3M,57.6M,55.6M,53.7M,50.2M,47.8M,49.4M,48.4M,48.6M,46.3M,44.6M,42.7M,41M,40.6M,42.8M,41M,39.5M,38.2M
India,3.02M,4.65M,5.67M,5.85M,6.72M,6.81M,7.18M,7.37M,7.2M,7.49M,8.28M,8.66M,10.2M,11.3M,12.8M,9.4M,15M,19.9M,25.4M,28.2M,30.2M,31.6M,30.7M,32.3M,34.4M,34.2M,32.2M,29.2M,27.9M,32.4M,36.6M,34.8M,35.6M,34.7M,34.6M,34.2M,34.2M,35.2M,35.4M,36.3M,34.9M,36M,36.4M,37.8M,38M,41.3M,42.9M,42.5M,42.5M,41.6M,41.2M,40.2M,40.4M,39.5M,37.5M
Iran,95.7M,107M,131M,143M,169M,193M,229M,254M,295M,303M,269M,297M,286M,265M,160M,74.2M,66.2M,120M,123M,103M,110M,103M,117M,117M,144M,163M,174M,176M,184M,185M,185M,187M,187M,191M,178M,192M,190M,179M,202M,209M,208M,211M,213M,215M,207M,212M,213M,180M,170M,174M,180M,216M,235M,225M,161M
Iraq,64.7M,68.6M,60.5M,74.2M,74.9M,76.3M,83.4M,72.4M,99.4M,97.3M,112M,120M,116M,127M,172M,131M,44.5M,48.5M,54.4M,60.5M,69.8M,93.2M,117M,137M,139M,105M,13.9M,26.1M,22.3M,24.8M,26M,28.6M,57.1M,104M,128M,129M,124M,104M,66M,99.9M,89.9M,98M,105M,119M,120M,121M,136M,151M,152M,159M,196M,218M,222M,227M,234M
Italy,2.28M,1.85M,1.72M,1.63M,1.59M,1.5M,1.35M,1.21M,1.1M,1.1M,1.24M,1.29M,1.25M,1.49M,1.72M,1.71M,1.49M,1.76M,2.24M,2.27M,2.38M,2.56M,3.94M,4.84M,4.6M,4.67M,4.33M,4.5M,4.64M,4.89M,5.24M,5.45M,5.95M,5.62M,5.01M,4.59M,4.13M,5.53M,5.57M,5.47M,6.11M,5.77M,5.86M,5.24M,4.57M,5.11M,5.31M,5.4M,5.5M,5.77M,5.47M,3.76M,4.15M,4.68M,4.28M
Kazakhstan,,,,,,,,,,,,,,,,,,,,,22.7M,23.3M,24.1M,25M,25.4M,25.8M,26.6M,25.8M,23M,20.3M,20.6M,23M,25.8M,25.9M,30.1M,35.3M,40.1M,47.3M,51.4M,59.5M,61.5M,65.1M,67.2M,70.7M,76.5M,79.7M,80.1M,79.3M,82.3M,81.1M,80.2M,78.6M,87M,91.2M,91.4M
Kuwait,119M,126M,126M,133M,141M,152M,163M,167M,154M,130M,106M,110M,101M,109M,130M,86.8M,58.6M,42.7M,55M,60.7M,55.5M,59.4M,52.1M,63M,68.4M,46.8M,9.22M,54M,96.6M,103M,105M,105M,105M,110M,103M,110M,107M,98.8M,116M,123M,130M,134M,130M,136M,121M,123M,141M,154M,151M,150M,148M,153M,145M,147M,144M
Libya,58M,71.7M,82.4M,124M,148M,160M,131M,107M,105M,73.6M,71.5M,93.5M,99.6M,95.6M,101M,88.3M,59.1M,55.4M,54.3M,48.2M,48.4M,50.2M,47.3M,49.7M,54.9M,67.2M,67.9M,69.7M,66.1M,67.5M,67.9M,68.6M,70.1M,69.6M,67M,69.5M,67.1M,64.6M,69.8M,76.5M,82M,88M,89.6M,88.2M,81.7M,84.6M,24.3M,72.6M,49.4M,24.4M,20.5M,19.3M,43.8M,54.9M,57.8M
Mexico,18.1M,18.5M,20.5M,21.9M,23M,24.2M,24.1M,25.1M,25.9M,32.4M,40.2M,44.8M,54.4M,66.7M,80.7M,107M,128M,151M,147M,148M,146M,137M,143M,143M,143M,145M,153M,153M,153M,154M,150M,162M,170M,173M,165M,170M,176M,178M,188M,190M,186M,183M,172M,157M,147M,146M,145M,144M,142M,137M,128M,121M,109M,102M,94.9M
Malaysia,47.8k,47.8k,47.8k,192k,430k,860k,3.3M,4.46M,4.35M,3.87M,4.68M,8M,8.74M,10.3M,13.5M,13.2M,12.4M,14.5M,18.4M,21.4M,21.3M,23.9M,23.6M,25.7M,28M,29.5M,30.8M,31.3M,30.6M,31.1M,33.3M,33.8M,33.5M,34M,32.4M,33.6M,32.6M,34.2M,35.4M,36.3M,34.2M,32.2M,33.3M,33.6M,31.8M,33.1M,29.7M,30.1M,28.7M,29.8M,32.2M,33.3M,32.9M,32.4M,29.8M
Nigeria,13.5M,20.6M,15.7M,6.98M,26.6M,53.4M,75.4M,89.7M,101M,111M,87.8M,102M,103M,93.4M,113M,102M,70.9M,63.4M,60.9M,68.6M,73.8M,72.2M,66.4M,68.3M,87M,87.5M,96.1M,99.7M,98.4M,94.3M,95.1M,96.4M,96.5M,98.9M,92.3M,107M,105M,95M,112M,122M,121M,116M,107M,106M,107M,122M,118M,116M,109M,109M,106M,91.3M,94.5M,96.4M,101M
Norway,,,,,,,293k,1.61M,1.56M,1.71M,9.22M,13.7M,14M,17.4M,19.5M,25M,24.3M,25.2M,31.4M,36M,39.2M,43M,50.1M,57M,74.9M,82.1M,93.8M,107M,114M,129M,138M,155M,156M,150M,150M,160M,162M,157M,153M,150M,138M,129M,118M,114M,108M,98.4M,93.2M,86.9M,82.8M,84.8M,87.5M,90.1M,88.7M,83.1M,78.4M
Oman,,,2.82M,12M,16.2M,16.4M,14.6M,14M,14.5M,14.4M,16.9M,18.2M,16.8M,15.6M,14.6M,14.1M,16.3M,16.7M,19.3M,20.8M,24.8M,27.9M,29M,30.9M,32.1M,34.2M,35.3M,37M,38.8M,40.5M,42.8M,44.4M,44.9M,44.7M,44.7M,47M,46.9M,44M,40.2M,38.4M,38M,36.2M,34.8M,37.1M,39.7M,42.2M,43.2M,45M,46.1M,46.2M,48M,49.3M,47.6M,47.8M,47.3M
Peru,3.39M,3.39M,3.81M,3.98M,3.86M,3.86M,3.3M,3.45M,3.75M,4.09M,3.8M,4.04M,4.8M,7.92M,10M,10.2M,10.1M,10.2M,8.93M,9.68M,9.88M,9.31M,8.58M,7.44M,6.85M,6.77M,6.03M,6.09M,6.63M,6.68M,6.39M,6.32M,6.24M,6.03M,5.51M,5.16M,5.04M,4.9M,4.73M,4.69M,5.32M,5.54M,5.49M,5.7M,6.89M,7.28M,6.97M,6.87M,7.31M,7.54M,6.54M,5.85M,5.7M,6.4M,6.06M
Qatar,11.6M,14.5M,16.1M,17M,17.7M,18.1M,21.4M,24.1M,28.4M,25.8M,21.8M,24.3M,21.7M,24.1M,25.2M,23.7M,20.7M,16.9M,15.3M,17.1M,15.3M,17.3M,15.3M,17.6M,19.7M,21.1M,20.4M,23.6M,21.8M,21.3M,21.8M,27.1M,33.3M,33.6M,34.3M,40.2M,40M,37.3M,43.8M,49.9M,52.6M,56.7M,57.5M,64.5M,62.4M,70.9M,77.7M,82.2M,84.2M,83.5M,81.2M,81.6M,79.1M,79.5M,78.5M
Romania,12.8M,13.1M,13.5M,13.5M,13.5M,13.7M,14.1M,14.4M,14.6M,14.8M,15M,15.1M,15M,14.1M,12.7M,12M,12.1M,12.2M,12.1M,11.9M,11.2M,10.7M,10M,9.84M,9.62M,8.14M,7.01M,6.83M,6.93M,6.97M,6.95M,6.85M,6.75M,6.55M,6.38M,6.29M,6.24M,6.07M,5.89M,5.71M,5.44M,5M,4.75M,4.72M,4.5M,4.29M,4.22M,3.98M,4.13M,4.05M,4M,3.8M,3.63M,3.58M,3.57M
Russia,,,,,,,,,,,,,,,,,,,,,542M,561M,569M,569M,552M,516M,462M,399M,355M,318M,311M,303M,307M,304M,305M,327M,352M,384M,426M,463M,475M,486M,497M,494M,501M,512M,519M,527M,532M,535M,542M,556M,554M,563M,568M
Saudi Arabia,111M,131M,141M,154M,163M,192M,241M,304M,384M,430M,359M,437M,468M,424M,488M,510M,506M,340M,240M,219M,172M,253M,214M,273M,271M,343M,428M,442M,429M,432M,431M,437M,432M,445M,409M,439M,428M,390M,460M,493M,517M,509M,489M,510M,459M,463M,523M,549M,538M,544M,568M,587M,559M,577M,557M
Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.5k,98.5k,98.5k,247k,443k,591k,3.1M,8.85M,10.3M,11.6M,12.9M,14.4M,14.5M,17.5M,23.8M,22.6M,23.4M,22.8M,14.3M,5.09M,5.81M,5.89M,5.37M,5.12M,4.66M,4.93M,5.04M
South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,1.53M,4.91M,7.65M,7.28M,5.79M,6.02M,6.29M,6.83M
Syria,,,,1.05M,2.64M,4.23M,5.28M,5.84M,5.53M,6.42M,9.56M,10M,9.11M,8.91M,8.32M,7.89M,8.17M,7.72M,8.02M,8.09M,7.93M,9.98M,11.5M,13.4M,16.9M,20.2M,23.5M,25.6M,28.1M,28M,29.6M,29.2M,28.7M,28.6M,28.8M,28.1M,29.9M,32.7M,31.6M,23.5M,21.7M,20.3M,19.5M,19.6M,19.3M,18.5M,16.9M,8.08M,2.69M,1.46M,1.2M,1.1M,1.08M,1.05M,1.02M
Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,1.24M,8.83M,9.11M,8.04M,7.54M,6.69M,6.19M,6.4M,5.97M,5.31M,4.76M,4.66M,5.81M,6.14M,5.17M,6.07M,6.66M
Thailand,,,,,,,,,,,,,,,,,67k,241k,585k,1.06M,2.01M,1.97M,1.81M,2.08M,2.05M,2.44M,2.82M,3.3M,3.39M,3.42M,3.32M,3.78M,4.29M,4.46M,4.86M,7.13M,7.78M,8.55M,9.98M,9.77M,11.9M,13M,13.7M,14.5M,15M,15.2M,15.8M,17.3M,17.1M,16.9M,17.6M,18.1M,17.6M,17.1M,17M
Turkmenistan,,,,,,,,,,,,,,,,,,,,,6.78M,6.56M,6.47M,5.72M,5.75M,5.7M,5.4M,5.2M,4.38M,4.19M,4.07M,4.36M,5.37M,6.37M,7.06M,7.28M,7.75M,8.21M,8.71M,9.22M,9.73M,9.99M,10.3M,10.6M,10.9M,11.1M,11.5M,12M,12.5M,12.8M,13.2M,13.2M,13.1M,12.6M,12.5M
Trinidad and Tobago,6.67M,7.56M,8.85M,9.49M,7.78M,6.93M,6.39M,7M,8.22M,9.26M,10.7M,10.5M,11.3M,11.4M,10.6M,10.5M,9.36M,8.77M,7.92M,8.44M,8.64M,8.3M,7.61M,7.44M,7.34M,7.37M,7.24M,6.95M,6.45M,6.76M,6.74M,6.68M,6.44M,6.4M,6.64M,6.57M,6.33M,7.28M,7.67M,7.12M,8.11M,8.18M,7.19M,6.89M,6.8M,6.23M,5.88M,5.18M,5.11M,5.05M,4.82M,4.33M,4.38M,3.9M,3.66M
Tunisia,,771k,2.24M,3.19M,3.71M,4.15M,4.11M,3.98M,3.88M,4.14M,4.61M,3.71M,4.3M,4.94M,5.54M,5.63M,5.41M,5.15M,5.53M,5.48M,5.41M,5.25M,5.01M,4.94M,4.96M,4.74M,5.44M,5.45M,4.94M,4.56M,4.44M,4.41M,4.16M,4.08M,4.2M,3.85M,3.54M,3.7M,3.38M,3.5M,3.64M,3.51M,4.86M,4.46M,4.23M,3.88M,3.56M,3.8M,3.51M,3.26M,2.93M,2.76M,2.23M,2.3M,2.3M
United States,428M,455M,484M,503M,511M,533M,526M,528M,515M,491M,470M,458M,463M,484M,477M,480M,479M,481M,483M,496M,499M,482M,467M,459M,429M,417M,423M,413M,397M,387M,384M,382M,380M,368M,353M,348M,345M,342M,333M,325M,309M,305M,305M,302M,323M,333M,346M,395M,448M,524M,567M,542M,574M,672M,747M
USSR,243M,265M,288M,309M,328M,353M,377M,400M,429M,459M,491M,520M,546M,572M,586M,603M,609M,613M,616M,613M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uzbekistan,,,,,,,,,,,,,,,,,,,,,2.31M,2.53M,2.67M,2.44M,2.7M,2.8M,2.8M,3.3M,4M,5.52M,7.59M,7.62M,7.89M,8.18M,8.1M,7.5M,7.18M,7.2M,7.13M,6.58M,5.45M,5.41M,4.93M,4.78M,4.46M,3.65M,3.58M,3.17M,2.9M,2.8M,2.71M,2.64M,2.76M,2.89M,2.8M
Venezuela,184M,179M,188M,192M,191M,197M,190M,174M,181M,161M,127M,125M,121M,117M,127M,117M,114M,103M,97.3M,97.6M,91.5M,98.9M,100M,105M,106M,118M,131M,132M,136M,144M,155M,165M,172M,178M,159M,160M,163M,153M,147M,170M,169M,171M,166M,166M,156M,146M,142M,139M,138M,139M,135M,121M,108M,75.6M,46.6M
Vietnam,,,,,,,,,,,,,,,,,,,,,,,280k,690k,1.49M,2.7M,3.96M,5.49M,6.3M,7.1M,7.62M,8.8M,10.1M,12.5M,15.2M,16.5M,17.1M,17.2M,18.1M,20.4M,18.9M,17.1M,16.2M,15.2M,16.6M,15.3M,15.4M,17M,16.9M,15.9M,17.2M,15.5M,13.8M,12.4M,11.4M
Yemen,,,,,,,,,,,,,,,,,,,,,,478k,1.24M,8.15M,8.52M,8.71M,9.42M,8.73M,9.9M,16.4M,16.7M,16.9M,17.7M,18M,19.2M,20.9M,21.4M,21.6M,21.2M,20M,19.8M,18.1M,15.9M,14.8M,14.4M,14.3M,10.2M,8.14M,9.03M,6.9M,2.61M,1.61M,2.95M,3.5M,4.22M
