country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
United Arab Emirates,698k,1.23M,1.25M,1.45M,1.46M,1.39M,1.63M,3.27M,4.79M,5.12M,6.3M,7.43M,7.96M,7.01M,9.22M,11.1M,12.8M,14.2M,14.6M,17.1M,16.9M,20M,18.6M,19.3M,21.6M,26.3M,28.3M,30.4M,31.1M,32.3M,32.2M,33M,36.4M,37.5M,38.8M,40.1M,40.9M,42.2M,42.1M,40.9M,43M,43.9M,45.5M,45.8M,45.5M,50.5M,51.9M,53.6M,52.8M,53.8M
Argentina,5.03M,5.44M,5.17M,5.63M,6.06M,6.43M,6.13M,6.33M,6.53M,6.05M,7.02M,7.3M,8.19M,11M,11.3M,11.6M,13M,12.7M,15M,15.9M,14.9M,16.7M,16.8M,18M,18.6M,20.9M,24.2M,22.9M,24.7M,28.9M,31.3M,31.1M,30.2M,34.3M,37.5M,38.2M,38.5M,37.5M,36.8M,34.7M,33.5M,32.4M,31.5M,29.7M,29.7M,30.5M,32.1M,31.9M,33.9M,35.8M
Australia,1.49M,2.22M,3.19M,4.05M,4.62M,4.96M,5.85M,6.69M,7.2M,8.29M,9.52M,10.3M,10.1M,10.9M,10.8M,11.5M,12.6M,12.8M,13.2M,15.2M,17.7M,18.6M,20.1M,21M,24.1M,25.4M,25.5M,25.5M,26M,26.4M,26.8M,28.1M,28.4M,29M,30.9M,32.9M,35M,36.8M,35.8M,40.2M,46.4M,47.9M,51.2M,53.1M,57.3M,65.4M,82.9M,97M,112M,132M
Azerbaijan,,,,,,,,,,,,,,,,11.8M,11.4M,10.5M,9.98M,9.3M,8.3M,7.21M,6.62M,5.7M,5.37M,5.53M,4.93M,4.69M,4.38M,4.69M,4.42M,4.34M,4.02M,4.01M,3.91M,4.81M,5.67M,9.08M,13.7M,13.7M,14M,13.7M,14.5M,15M,15.8M,16.2M,15.7M,15.3M,16.4M,20.9M
Bangladesh,0,0,378k,523k,575k,578k,761k,849k,937k,1.08M,1.21M,1.17M,1.52M,1.69M,1.95M,2.22M,2.5M,2.94M,3.46M,3.65M,3.93M,4.05M,4.42M,4.94M,5.24M,5.8M,6.22M,6.12M,6.61M,7.21M,7.79M,8.72M,9.18M,9.87M,10.6M,11.4M,12.4M,13.2M,14.1M,16.1M,16.6M,16.8M,18.3M,18.9M,19.8M,22.2M,22.7M,22.9M,22.9M,24.7M
Bahrain,559k,815k,1.02M,1.44M,1.78M,1.87M,1.96M,2.13M,2.34M,2.59M,2.1M,1.95M,3.08M,3.23M,3.33M,4.06M,4.65M,4.51M,4.8M,4.99M,5.22M,4.98M,5.82M,6.23M,6.38M,6.49M,6.68M,7.17M,7.54M,7.8M,7.89M,8.21M,8.51M,8.66M,7.97M,8.75M,9.25M,9.63M,10.3M,10.4M,10.7M,10.9M,11.2M,12M,12.6M,12.7M,12.4M,12.4M,12.6M,14.5M
Bolivia,36k,36k,960k,1.48M,1.55M,1.53M,1.57M,1.66M,1.64M,1.79M,2.19M,2.34M,2.43M,2.33M,2.24M,2.22M,2.26M,2.37M,2.5M,2.64M,2.7M,2.68M,2.43M,2.43M,2.62M,2.62M,2.64M,2.23M,2.33M,1.87M,2.68M,3.91M,5.01M,5.76M,8.1M,9.99M,10.7M,11.5M,11.9M,10.2M,11.8M,12.9M,14.7M,16.8M,17.4M,16.8M,16.1M,15.7M,14.6M,12.9M
Brazil,69.7k,111k,151k,173k,332k,362k,417k,519k,683k,748k,874k,785k,1.12M,1.52M,1.76M,2.21M,2.58M,2.88M,2.9M,2.97M,2.7M,2.81M,3.19M,3.73M,4.07M,4.5M,4.91M,5.35M,5.6M,6.58M,6.63M,6.77M,8.18M,8.89M,9.77M,9.67M,9.87M,9.94M,12.4M,10.6M,12.9M,14.8M,17.1M,18.9M,20.1M,20.5M,20.7M,23.4M,21.6M,22.2M
Brunei,184k,182k,373k,1.63M,3.54M,4.64M,6.12M,7.03M,6.89M,7.22M,7.24M,7.01M,7M,7.3M,7.39M,7.21M,7.22M,7.21M,7.49M,7.34M,7.48M,7.6M,8.18M,8.66M,8.71M,9.86M,9.77M,9.78M,9.03M,9.41M,9.47M,9.55M,9.61M,10.4M,10.3M,10.1M,10.5M,10.3M,10.2M,9.57M,10.3M,10.7M,10.5M,10.2M,10.9M,11.4M,11.1M,11.1M,10.8M,11.2M
Canada,46.4M,50.8M,57.3M,61.4M,60.2M,61.4M,62M,65.1M,62.8M,66.3M,61.2M,59.2M,62.1M,58.4M,64M,69.2M,64.9M,70.4M,81.3M,86.4M,88.9M,93.6M,103M,114M,123M,131M,132M,137M,142M,147M,152M,154M,155M,151M,152M,154M,154M,150M,143M,133M,129M,130M,129M,131M,137M,138M,148M,151M,154M,149M
China,2.49M,3.24M,4.19M,5.18M,6.53M,7.67M,8.75M,10.5M,11.9M,12.6M,12.4M,11M,10.3M,10.6M,10.8M,11.2M,11.9M,12M,12.4M,13M,13.3M,13.4M,13.7M,14.5M,15.2M,15.6M,17.4M,19.7M,20.2M,21.8M,23.6M,26.3M,28.3M,30.3M,35.9M,42.7M,50.7M,60M,69.6M,73.9M,83M,91.3M,95.9M,105M,113M,117M,119M,128M,139M,153M
Colombia,1.07M,1.12M,1.37M,1.42M,1.47M,1.28M,1.3M,1.48M,1.96M,2.24M,2.39M,2.62M,2.8M,3.07M,3.12M,3.19M,3.11M,3.27M,3.16M,3.19M,3.37M,3.34M,3.42M,3.35M,3.46M,3.62M,3.91M,4.88M,5.58M,4.9M,4.93M,5.11M,5.16M,4.94M,5.27M,5.54M,5.82M,6.24M,7.5M,8.69M,9.32M,9.07M,9.91M,11.4M,10.6M,9.98M,10.3M,10.6M,11.1M,11.3M
Germany,10.3M,12.7M,15.2M,17.1M,17.7M,16.4M,17M,16.9M,17.4M,17.5M,15.9M,16.3M,14.3M,15.8M,15.5M,14.7M,12.1M,13.5M,12.6M,13.2M,12.9M,13.2M,13.4M,13.4M,14M,14.5M,15.7M,15.4M,15M,16.1M,15.2M,15.3M,15.3M,15.9M,14.7M,14.2M,14.1M,12.9M,11.7M,11M,9.56M,9M,8.14M,7.4M,6.95M,6.47M,5.95M,5.48M,4.77M,4.58M
Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208k,1.01M,1.71M,2.17M,2.15M,2.75M,2.81M,3.53M,3.68M,4.04M,4.37M,4.74M,5.76M,7.05M,6.78M,6.95M,7.31M,7.51M,7.6M,7.2M,8.49M,9.38M,9.32M,8.27M,9.02M,7.53M,7.34M,5.9M,5.15M,4.28M,4.13M,4.12M,4.04M,4.34M,3.69M,2.75M
Algeria,2.1M,2.21M,2.8M,3.72M,4.3M,5.29M,6.66M,6.38M,9.89M,16.2M,13.3M,15.4M,20M,28.7M,29.2M,32.1M,32.8M,37.1M,38.7M,41.8M,44.4M,47.9M,49.9M,50.5M,46.4M,52.9M,56.1M,64.4M,68.9M,77.5M,79M,74.4M,76.5M,80.7M,79.2M,73M,69.9M,70.2M,71M,65.8M,66.5M,68.4M,67.4M,68.2M,68.9M,70M,78.6M,79.9M,80.7M,74.2M
Egypt,70.3k,70.3k,58.8k,47.2k,49.7k,41.4k,314k,381k,612k,927k,1.8M,2.02M,2.21M,2.59M,3.33M,4.08M,4.7M,5.2M,5.73M,6.41M,6.68M,7.51M,8.13M,9.34M,10M,10.3M,11M,11.3M,11.6M,13.9M,17.4M,20.9M,22.6M,24.9M,27.3M,35.2M,45.3M,46.1M,48.8M,51.9M,50.7M,50.9M,50.4M,46.4M,40.4M,36.6M,34.6M,42M,50.4M,55.8M
United Kingdom,9.41M,15.6M,22.6M,24.5M,29.6M,30.8M,32.6M,34.1M,32.6M,32.9M,31.3M,31.2M,31.8M,32.7M,32M,35.7M,37.5M,39.3M,37.9M,37.1M,40.9M,45.6M,46.3M,54.5M,58.2M,63.7M,75.7M,77.3M,81.2M,89.2M,97.6M,95.3M,93.3M,92.7M,86.8M,79.4M,72M,64.9M,62.6M,52.6M,49.8M,39.6M,33.7M,31.8M,32.2M,35M,35.9M,36M,34.8M,34.1M
Indonesia,1.1M,1.31M,970k,1.5M,1.55M,2.03M,2.05M,4.94M,9.5M,13.8M,16.2M,16.4M,16.7M,19M,25.6M,28.2M,29.3M,31.3M,34.2M,36M,38.3M,42.1M,44.6M,46.3M,52.8M,53M,55.8M,57.3M,56.4M,61.1M,60.8M,59M,65M,68.1M,65.1M,65.6M,64.8M,62.4M,64.3M,67.1M,74.8M,71.1M,67.3M,66.7M,65.7M,65.5M,64.6M,62.5M,62.6M,58.1M
India,544k,577k,632k,631k,714k,914k,1.11M,1.19M,1.32M,1.65M,974k,1.7M,2.23M,2.65M,3.04M,3.72M,5.19M,5.98M,7.01M,8.33M,9.97M,11.1M,12.4M,12.6M,13.6M,15.5M,17M,18.4M,20.2M,20.7M,21.8M,21.9M,22.8M,24.4M,24.2M,24.5M,24.2M,24.9M,25.3M,31.1M,40.8M,36.9M,32M,26.7M,25.2M,24.2M,22.9M,23.8M,23.6M,23.1M
Iran,3.01M,7.27M,9.8M,10.8M,11.2M,11.7M,11.9M,12.1M,7.59M,7.31M,3.9M,4.24M,5.8M,6.63M,7.72M,8.33M,8M,9.8M,10.6M,13.4M,21.3M,25.1M,26.6M,14.2M,22.6M,27.4M,32.2M,33.9M,38.2M,45.6M,48.4M,53.8M,64M,67.1M,78.3M,83.1M,90.5M,101M,106M,117M,124M,130M,135M,135M,151M,158M,171M,189M,205M,210M
Iraq,637k,756k,764k,743k,683k,1.06M,1.47M,962k,997k,1.43M,1.05M,506k,555k,384k,482k,694k,1.27M,3.06M,4.57M,5.27M,3.25M,1.42M,1.85M,2.08M,2.59M,2.59M,2.65M,2.49M,2.41M,2.6M,2.57M,2.25M,1.93M,1.27M,817k,1.18M,1.18M,3.91M,5.55M,5.89M,6.14M,5.42M,5.45M,6.08M,6.48M,6.28M,8.51M,8.7M,9.09M,9.27M
Italy,10.8M,11M,11.7M,12.6M,12.6M,12M,12.9M,11.3M,11.3M,11M,10.3M,11.5M,11.8M,10.6M,11.2M,11.5M,12.9M,13.3M,13.5M,13.8M,14M,14.1M,14.7M,15.7M,16.5M,16.3M,16.4M,15.9M,15.7M,14.4M,13.7M,12.6M,12.1M,11.5M,10.7M,9.96M,9.06M,8.01M,7.58M,6.56M,6.88M,6.92M,7.05M,6.33M,5.86M,5.55M,4.74M,4.53M,4.46M,3.97M
Kazakhstan,,,,,,,,,,,,,,,,4.02M,4.29M,4.65M,5.25M,4.94M,5.24M,5.37M,5.04M,4.54M,2.81M,3.54M,3.06M,4.97M,4.37M,5.81M,7.29M,7.43M,7.93M,9.56M,11.3M,12.5M,13.1M,13.6M,15.7M,16.3M,17.6M,17.3M,17.1M,18.4M,18.6M,18.9M,19.7M,20.1M,20.6M,20.1M
Kuwait,1.66M,1.72M,2.03M,2.28M,2.39M,2.62M,3.16M,3.44M,3.86M,5.11M,3.33M,3.83M,3M,3.3M,3.57M,3.43M,4.68M,3.9M,5.59M,6.67M,3.42M,408k,2.14M,4.43M,4.88M,7.58M,7.6M,7.57M,7.75M,7.1M,7.84M,7.76M,7.11M,8.17M,8.9M,10M,10.1M,9.2M,10.4M,9.38M,9.58M,11.1M,12.7M,13.3M,12.3M,13.8M,14.1M,14M,14.5M,15.8M
Libya,240k,578k,2.31M,3.7M,3.33M,3.79M,3.9M,4.13M,4.18M,5.54M,4.22M,2.57M,2.74M,3.03M,3.76M,4.25M,4.57M,4.08M,4.49M,5.55M,5.06M,5.34M,5.53M,5.2M,5.22M,5.18M,5.24M,5.37M,5.2M,4.25M,4.8M,5.05M,4.82M,4.49M,6.58M,9.23M,10.8M,12.5M,13M,13M,13.7M,6.42M,9.97M,10.5M,10.2M,9.48M,8.09M,7.43M,7.12M,8.11M
Mexico,9.48M,9.39M,9.76M,10.6M,11.1M,11.3M,11.1M,11.8M,14.7M,17.9M,21.6M,23.3M,24.8M,25M,24.6M,23.9M,21.2M,21.6M,21.8M,21M,22.7M,23M,22.3M,23.9M,25.1M,25.1M,26.5M,26.7M,28.3M,29.4M,28.7M,28.5M,29M,30M,31.8M,38.1M,41.7M,40.3M,40.6M,45.2M,44M,44.8M,43.7M,45.1M,44.1M,41.2M,37.5M,32.9M,30.3M,29.2M
Myanmar,6340,12.2k,13.1k,15.8k,142k,152k,211k,194k,228k,228k,296k,355k,380k,507k,541k,777k,904k,1.01M,879k,921k,718k,727k,735k,929k,1.21M,1.39M,1.35M,1.28M,1.49M,1.45M,2.87M,5.91M,7.1M,8.11M,8.62M,10.3M,10.6M,11.4M,10.5M,9.76M,10.5M,10.8M,10.8M,11.1M,14.2M,16.5M,15.7M,15.3M,14.7M,14.7M
Malaysia,0,71.3k,99.8k,99.8k,208k,251k,299k,273k,2.03M,2.52M,2.25M,1.89M,2.38M,5.74M,8.71M,9.63M,12.9M,14M,14.5M,15.6M,15.5M,18.4M,19.3M,20.7M,22M,24.3M,31.1M,35.5M,35.4M,36.3M,42.7M,42.2M,43.5M,45.3M,51.7M,58.2M,58M,58.2M,59.5M,56.9M,56M,57.6M,59.5M,62.4M,62.1M,66.1M,65.9M,67.5M,66.4M,67.8M
Nigeria,90.7k,168k,225k,345k,322k,288k,535k,705k,854k,1.13M,1.36M,2M,2.09M,2.37M,2.28M,2.16M,2.52M,2.49M,2.99M,3.47M,3.3M,3.22M,3.49M,3.97M,3.63M,3.95M,4.44M,4.28M,5.17M,3.73M,9.63M,13.1M,14.7M,18.4M,19.7M,19.8M,23.1M,28.9M,28.2M,19.9M,26.6M,31.3M,33.7M,28.5M,34.4M,40.9M,36.7M,40.6M,41.5M,42.4M
Netherlands,24M,33.2M,44.2M,53.8M,63.8M,69.1M,73.8M,74M,67.8M,71.1M,68.7M,63.8M,54.6M,58.1M,58.8M,61.6M,56.3M,56.4M,49.8M,54.4M,54.5M,61.7M,61.9M,63.1M,59.9M,60.9M,68.9M,61M,58.2M,54.1M,52.8M,55.6M,54.6M,52.2M,61.6M,56.2M,55.5M,53.3M,61M,56.3M,64.7M,59.8M,58.8M,62.3M,51.9M,39.4M,38.1M,33.1M,27.8M,24.2M
Norway,0,0,0,0,0,0,0,2.27M,12.1M,17.6M,21.4M,21.3M,20.4M,20.2M,22.2M,22.3M,22.3M,24M,24.2M,24.5M,21.7M,21.4M,22M,21.2M,22.9M,23.7M,31.9M,36.6M,37.7M,41.4M,42.5M,46.1M,56M,62.3M,67.6M,73.3M,75.7M,77.1M,85.4M,89.1M,91.5M,86.4M,97.9M,92.8M,92.9M,99.9M,99.6M,106M,104M,98.4M
Oman,0,0,0,0,0,0,0,0,260k,438k,556k,655k,716k,890k,1.12M,1.42M,1.66M,1.86M,1.88M,1.95M,2.1M,2.13M,2.33M,2.24M,2.34M,3.28M,3.55M,4.04M,4.19M,4.42M,8.87M,13.3M,14.3M,15.8M,16M,17.9M,20.9M,21.2M,20.8M,20.6M,22.1M,23.3M,24.4M,26.5M,25.2M,26.4M,27.1M,27.8M,31M,31.2M
Pakistan,2.5M,2.5M,2.31M,2.63M,2.91M,3.27M,3.34M,3.65M,3.75M,4.22M,5.16M,5.62M,6.13M,6.05M,6.2M,6.33M,6.79M,7.27M,7.71M,8.22M,8.78M,9.48M,9.3M,10.7M,10.9M,11.2M,12.2M,12.1M,12.8M,14.6M,15.4M,16.3M,17.7M,22M,26.4M,28M,28.6M,29.1M,29.8M,29.8M,30.4M,30.4M,31.5M,30.6M,30.1M,30.1M,29.8M,29.8M,29.4M,29.1M
Peru,342k,408k,392k,384k,396k,488k,530k,526k,550k,508k,546k,627k,658k,434k,586k,457k,485k,482k,454k,385k,369k,346k,312k,329k,343k,332k,337k,199k,338k,340k,286k,306k,366k,433k,712k,1.26M,1.47M,2.21M,3.01M,3.08M,6.29M,9.87M,10.3M,10.7M,11.3M,10.9M,12.1M,11.2M,11M,11.6M
Poland,4.4M,4.54M,4.8M,4.87M,4.71M,4.85M,5.28M,5.56M,5.96M,5.35M,4.54M,4.04M,3.72M,3.64M,4M,4.13M,3.75M,3.77M,3.74M,3.46M,2.38M,2.66M,2.56M,3.27M,3.1M,3.17M,3.14M,3.2M,3.25M,3.1M,3.31M,3.49M,3.57M,3.61M,3.93M,3.88M,3.88M,3.9M,3.69M,3.68M,3.69M,3.85M,3.91M,3.82M,3.73M,3.68M,3.55M,3.47M,3.42M,3.43M
Qatar,894k,894k,982k,1.41M,1.16M,1.78M,974k,1.38M,1.32M,3.88M,4.22M,3.85M,4.5M,4.66M,5.28M,4.86M,5.16M,4.99M,5.22M,5.52M,5.61M,6.79M,7.07M,7.37M,7.69M,8M,8.34M,11.5M,14M,18.4M,22.2M,24M,26.3M,27.9M,34.9M,40.8M,45.1M,56.2M,68.5M,79.5M,106M,129M,140M,145M,146M,150M,149M,145M,152M,153M
Romania,18.7M,20M,20.4M,21.6M,22.3M,24.3M,26.5M,28M,28.2M,27M,27.8M,29.3M,29.6M,29.4M,29.2M,27.9M,28.2M,26.8M,26.3M,23.6M,22.9M,20.1M,17.6M,16.8M,14.8M,14.4M,13.8M,11.9M,11.1M,11.2M,11M,10.8M,10.6M,10.4M,10.4M,9.7M,9.56M,9.23M,8.99M,8.94M,8.62M,8.67M,8.68M,8.6M,8.77M,8.79M,7.78M,8.61M,8.56M,8.32M
Russia,,,,,,,,,,,,,,,,365M,398M,430M,466M,487M,516M,508M,509M,489M,480M,465M,475M,450M,465M,468M,462M,460M,471M,491M,501M,507M,520M,517M,526M,461M,515M,530M,518M,528M,508M,503M,507M,546M,575M,584M
Saudi Arabia,1.32M,1.1M,1.25M,1.47M,1.86M,2.21M,2.39M,3.36M,4.64M,5.69M,7.94M,9.26M,9.82M,9.58M,14.9M,15.4M,20.6M,21.9M,23.8M,24.3M,27.4M,28.7M,31.2M,32.7M,34.9M,35.1M,36.3M,37M,38.2M,37.7M,40.7M,43.9M,46.3M,49.1M,53.7M,58.2M,60M,60.8M,65.7M,64.1M,71.6M,75.4M,81.1M,81.7M,83.6M,85.3M,90.6M,93.9M,96.4M,97.7M
Syria,0,0,0,0,0,0,27k,30.1k,29k,29.9k,40.2k,40.6k,42.3k,64.3k,109k,129k,326k,321k,760k,1.24M,1.37M,1.6M,1.65M,1.64M,1.77M,2.24M,2.38M,3.7M,4.66M,4.62M,4.62M,4.73M,5.24M,5.55M,5.11M,4.94M,5.07M,4.86M,4.78M,5.28M,7.25M,6.38M,5.23M,4.3M,3.97M,3.48M,3.04M,3M,3.09M,3.2M
Thailand,0,0,0,0,0,0,0,0,0,0,0,234k,1.19M,1.41M,2.1M,2.76M,3.22M,4.5M,5.33M,5.33M,5.8M,7.19M,7.67M,8.64M,9.55M,10.1M,11.7M,14.4M,15.6M,17.1M,18M,17.5M,18.3M,19.1M,19.9M,21.1M,21.6M,23.1M,25.6M,25.3M,29M,29.1M,33.1M,33.5M,33.6M,32.2M,32M,30.9M,29.9M,30.8M
Turkmenistan,,,,,,,,,,,,,,,,67.7M,68.9M,71.7M,71.9M,73.2M,68.1M,65.5M,43.3M,50.6M,27.8M,25.1M,27.3M,13.4M,10.3M,17.7M,36.5M,39.8M,41.5M,45.9M,45.3M,48.9M,48.7M,53M,53M,28.7M,34.5M,48.4M,50.7M,50.7M,54.6M,56.6M,54.4M,50.5M,52.9M,54.3M
Trinidad and Tobago,1.53M,1.6M,1.66M,1.59M,1.45M,1.32M,1.49M,1.75M,2.09M,2.16M,2.44M,2.68M,3.26M,3.38M,3.54M,3.62M,3.71M,3.93M,4.52M,4.53M,4.7M,4.76M,4.6M,5.16M,5.91M,6.35M,7.17M,7.78M,7.78M,9.81M,11.9M,12.7M,14.8M,21.7M,24.6M,25.8M,30.6M,32.4M,32.2M,33.2M,34.6M,33.3M,33.1M,33.3M,32.7M,30.9M,26.9M,27.4M,29.2M,29.7M
Ukraine,,,,,,,,,,,,,,,,34.9M,32.3M,29M,26.4M,25.1M,22.9M,19.9M,17.1M,15.6M,14.8M,13.8M,14M,14.2M,13.6M,13.7M,13.6M,13.9M,15.2M,15.7M,16.7M,16.9M,17.2M,17.2M,17.5M,17.5M,16.7M,16.8M,16.7M,17.3M,17.4M,16.2M,16.4M,16.7M,16.9M,16.8M
United States,491M,505M,504M,503M,481M,445M,442M,444M,442M,455M,451M,447M,415M,376M,408M,385M,375M,389M,399M,405M,416M,413M,417M,421M,439M,433M,439M,440M,445M,439M,446M,457M,440M,445M,433M,421M,431M,449M,470M,479M,495M,531M,558M,564M,606M,637M,625M,642M,719M,792M
USSR,161M,173M,180M,192M,212M,236M,261M,282M,303M,331M,354M,379M,408M,436M,478M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uzbekistan,,,,,,,,,,,,,,,,28.1M,31.4M,32.4M,32.5M,33.4M,31.6M,32.5M,33.1M,34.9M,36.6M,37.3M,38M,39M,42.5M,43.2M,43.8M,44.3M,45.3M,45.7M,46.3M,47M,48.7M,50.6M,52.5M,50.2M,49.1M,48.7M,48.6M,48.1M,48.4M,46.1M,45.7M,45.9M,49.1M,48.4M
Venezuela,7.36M,7.13M,7.09M,8.73M,9.23M,8.98M,11.1M,12.1M,12.3M,13.7M,14.1M,14.2M,15.2M,14.9M,16.5M,16.5M,18.2M,17.7M,18.2M,18.6M,21M,20.9M,20.6M,22.3M,23.6M,26.2M,28.4M,29.4M,30.9M,26.2M,26.7M,28.2M,27.1M,24.1M,27.1M,26.2M,30M,32M,28.7M,27.3M,26.2M,26M,27.4M,26.3M,27.3M,31M,32M,33.2M,27.2M,22.7M
Vietnam,0,0,0,0,0,0,0,0,0,0,0,8300,15.8k,54.3k,47.3k,29.5k,30.7k,30.7k,23.2k,27.4k,33.2k,59.7k,174k,207k,207k,121k,238k,441k,747k,1.08M,1.33M,1.66M,1.99M,1.97M,3.45M,5.34M,5.81M,5.87M,6.22M,6.65M,7.8M,7.04M,7.76M,8.09M,8.47M,8.85M,8.8M,8.19M,8.31M,8.47M
Yemen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,672k,5.38M,8.1M,6.55M,8.9M,8.39M,2.46M,431k,517k,493k,497k
